filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
Skyrim 25.jpg	88	37	64.352	56	67.9759	31	55.0375
Skyrim 26.jpg	89	50	43.3837	147	45.4051	22	21.0703
Skyrim 27.jpg	90	64	82.158	35	32.1809	152	72.4013
Skyrim 3.jpg	91	78	74.5333	75	64.9729	15	41.2037
Skyrim 4.jpg	92	40	67.5443	105	54.5525	28	37.6194
Skyrim 5.jpg	93	144	65.9573	85	54.5097	23	78.4829
Skyrim 6.jpg	94	49	74.6002	120	55.462	21	25.6808
Skyrim 7.jpg	95	9	40.4514	198	51.7847	26	19.8678
Skyrim 8.jpg	96	18	35.2389	194	55.4274	17	77.591
Skyrim 9.jpg	97	26	38.0664	188	55.5125	18	58.2723
Zelda Beach 01.png	99	55	15.6179	70	50.8478	85	29.7897
Zelda Beach 02.png	100	228	24.0531	68	41.1048	129	48.0066
Zelda Beach 03.png	101	140	40.3307	71	50.2323	46	29.4825
Zelda Cathedral Dawn.png	102	172	47.1915	41	31.882	69	29.8711
Zelda Cathedral Dusk.png	103	91	44.7536	76	28.5394	61	16.6445
Zelda Cathedral Noon.png	104	192	40.0483	103	27.5702	106	35.2189
Zelda Cathedral Sunset.png	105	71	58.2845	111	33.0993	44	12.4896
Zelda Cliff 2.png	106	47	41.7523	85	42.6662	185	93.121
Zelda Cliff 3.png	107	119	42.1453	47	39.5766	152	66.9597
Zelda Cliff 4.png	108	60	71.3935	90	35.6786	119	32.9685
Zelda Cliff.png	109	131	69.0458	79	41.1148	32	26.3008
Zelda Field Dawn.png	110	65	24.8696	158	94.8799	56	20.0684
Zelda Field Dusk.png	111	23	6.3383	173	53.6616	92	11.9666
Zelda Field Noon.png	112	184	29.6638	119	69.6212	73	27.9215
Zelda Field Sunset.png	113	140	63.7065	140	38.1193	28	10.2904
Zelda House Dawn.png	114	161	59.2906	97	47.7305	73	33.6223
Zelda House Dusk.png	115	91	67.2295	129	62.1856	45	16.9608
Zelda House Noon.png	116	171	50.3857	85	50.739	71	28.3241
Zelda House Sunset.png	117	138	72.101	127	58.9557	27	12.4604
Zelda Lake Dawn.png	118	137	30.7958	98	17.0794	101	14.4621
Zelda Lake Dusk.png	119	69	12.0376	102	16.2549	67	9.7676
Zelda Lake Noon.png	120	107	56.0341	91	23.5253	125	22.349
Zelda Lake Sunset.png	98	95	23.2647	65	27.1484	51	38.9191
Zelda Monster Hut 1.png	121	64	23.7374	130	31.4228	42	8.8258
Zelda Monster Hut 2.png	122	44	17.2772	187	22.1391	41	4.788
Zelda Monster Hut 3.png	123	23	12.1995	187	25.7309	45	7.3095
Zelda Mountain Dawn.png	126	138	56.1836	58	35.6912	113	42.0054
Zelda Mountain Dusk.png	124	55	25.8935	78	8.2596	114	8.3378
Zelda Mountain Noon.png	125	212	62.8563	81	34.9009	138	24.7726
Zelda Ricefield 2.png	127	222	58.4494	79	51.6724	95	40.8672
Zelda Ricefield 3.png	128	187	60.5524	86	56.025	86	31.7722
Zelda Ricefield 4.png	129	87	42.6792	139	53.8311	20	9.2408
Zelda Ricefield.png	130	171	47.436	89	44.4105	105	33.7108
Zelda Waterfall Dawn.png	131	92	20.7008	141	21.9927	67	6.2974
Zelda Waterfall Dusk.png	132	46	22.7044	130	42.8946	35	21.7554
Zelda Waterfall Noon.png	133	161	49.6681	40	21.4834	82	37.1573
Zelda Waterfall Sunset.png	134	65	24.5413	99	25.8047	50	14.7472
